# X Y Z i
284214.50 5036142.40 -30.00 0.002299
284234.50 5036142.40 -30.00 0.002655
284254.50 5036142.40 -30.00 0.002799
284274.50 5036142.40 -30.00 0.001177
284294.50 5036142.40 -30.00 0.001095
284314.50 5036142.40 -30.00 0.002718
284334.50 5036142.40 -30.00 0.001296
284214.50 5036162.40 -30.00 0.001437
284234.50 5036162.40 -30.00 0.000393
284254.50 5036162.40 -30.00 0.002258
284274.50 5036162.40 -30.00 0.003128
284294.50 5036162.40 -30.00 0.003103
284314.50 5036162.40 -30.00 0.001721
284334.50 5036162.40 -30.00 0.002528
284214.50 5036182.40 -30.00 0.001874
284234.50 5036182.40 -30.00 0.000419
284254.50 5036182.40 -30.00 0.000417
284274.50 5036182.40 -30.00 0.002189
284294.50 5036182.40 -30.00 0.002803
284314.50 5036182.40 -30.00 0.003098
284334.50 5036182.40 -30.00 0.001761
284214.50 5036202.40 -30.00 0.001881
284234.50 5036202.40 -30.00 0.002333
284254.50 5036202.40 -30.00 0.001384
284274.50 5036202.40 -30.00 0.002310
284294.50 5036202.40 -30.00 0.001996
284314.50 5036202.40 -30.00 0.001090
284334.50 5036202.40 -30.00 0.002481
284214.50 5036222.40 -30.00 0.001239
284234.50 5036222.40 -30.00 0.000856
284254.50 5036222.40 -30.00 0.002597
284274.50 5036222.40 -30.00 0.001735
284294.50 5036222.40 -30.00 0.000753
284314.50 5036222.40 -30.00 0.001448
284334.50 5036222.40 -30.00 0.002905
284214.50 5036242.40 -30.00 0.002600
284234.50 5036242.40 -30.00 0.000000
284254.50 5036242.40 -30.00 0.001307
284274.50 5036242.40 -30.00 0.002221
284294.50 5036242.40 -30.00 0.001211
284314.50 5036242.40 -30.00 0.003094
284334.50 5036242.40 -30.00 0.002070
284214.50 5036262.40 -30.00 0.000248
284234.50 5036262.40 -30.00 0.001831
284254.50 5036262.40 -30.00 0.000276
284274.50 5036262.40 -30.00 0.002629
284294.50 5036262.40 -30.00 0.001663
284314.50 5036262.40 -30.00 0.001942
284334.50 5036262.40 -30.00 0.002820
284214.50 5036282.40 -30.00 0.000733
284234.50 5036282.40 -30.00 0.001062
