# X Y Z i
284214.50 5036142.40 -30.00 0.001636
284234.50 5036142.40 -30.00 0.001651
284254.50 5036142.40 -30.00 0.001555
284274.50 5036142.40 -30.00 0.001674
284294.50 5036142.40 -30.00 0.001746
284314.50 5036142.40 -30.00 0.001817
284334.50 5036142.40 -30.00 0.001903
284214.50 5036162.40 -30.00 0.001624
284234.50 5036162.40 -30.00 0.001641
284254.50 5036162.40 -30.00 0.001535
284274.50 5036162.40 -30.00 0.001674
284294.50 5036162.40 -30.00 0.001753
284314.50 5036162.40 -30.00 0.001843
284334.50 5036162.40 -30.00 0.001966
284214.50 5036182.40 -30.00 0.001604
284234.50 5036182.40 -30.00 0.001622
284254.50 5036182.40 -30.00 0.001264
284274.50 5036182.40 -30.00 0.001661
284294.50 5036182.40 -30.00 0.001786
284314.50 5036182.40 -30.00 0.001870
284334.50 5036182.40 -30.00 0.002097
284214.50 5036202.40 -30.00 0.001565
284234.50 5036202.40 -30.00 0.001581
284254.50 5036202.40 -30.00 0.001624
284274.50 5036202.40 -30.00 0.001517
284294.50 5036202.40 -30.00 0.001828
284314.50 5036202.40 -30.00 0.001969
284334.50 5036202.40 -30.00 0.002344
284214.50 5036222.40 -30.00 0.001497
284234.50 5036222.40 -30.00 0.001463
284254.50 5036222.40 -30.00 0.001539
284274.50 5036222.40 -30.00 0.001315
284294.50 5036222.40 -30.00 0.001840
284314.50 5036222.40 -30.00 0.002010
284334.50 5036222.40 -30.00 0.002534
284214.50 5036242.40 -30.00 0.001459
284234.50 5036242.40 -30.00 0.000080
284254.50 5036242.40 -30.00 0.001605
284274.50 5036242.40 -30.00 0.001623
284294.50 5036242.40 -30.00 0.002046
284314.50 5036242.40 -30.00 0.002027
284334.50 5036242.40 -30.00 0.002323
284214.50 5036262.40 -30.00 0.001518
284234.50 5036262.40 -30.00 0.001511
284254.50 5036262.40 -30.00 0.001508
284274.50 5036262.40 -30.00 0.001527
284294.50 5036262.40 -30.00 0.001453
284314.50 5036262.40 -30.00 0.001879
284334.50 5036262.40 -30.00 0.002051
284214.50 5036282.40 -30.00 0.001558
284234.50 5036282.40 -30.00 0.001570
284254.50 5036282.40 -30.00 0.001588
284274.50 5036282.40 -30.00 0.001603
284294.50 5036282.40 -30.00 0.001625
284314.50 5036282.40 -30.00 0.001551
284334.50 5036282.40 -30.00 0.001924
