# X Y Z i
284214.50 5036142.40 -30.00 0.001188
284234.50 5036142.40 -30.00 0.001410
284254.50 5036142.40 -30.00 0.001596
284274.50 5036142.40 -30.00 0.001706
284294.50 5036142.40 -30.00 0.001768
284314.50 5036142.40 -30.00 0.001763
284334.50 5036142.40 -30.00 0.001725
284214.50 5036162.40 -30.00 0.001580
284234.50 5036162.40 -30.00 0.001423
284254.50 5036162.40 -30.00 0.001569
284274.50 5036162.40 -30.00 0.001674
284294.50 5036162.40 -30.00 0.001811
284314.50 5036162.40 -30.00 0.001815
284334.50 5036162.40 -30.00 0.001755
284214.50 5036182.40 -30.00 0.001551
284234.50 5036182.40 -30.00 0.001400
284254.50 5036182.40 -30.00 0.001528
284274.50 5036182.40 -30.00 0.001815
284294.50 5036182.40 -30.00 0.001882
284314.50 5036182.40 -30.00 0.001697
284334.50 5036182.40 -30.00 0.001687
284214.50 5036202.40 -30.00 0.001461
284234.50 5036202.40 -30.00 0.001621
284254.50 5036202.40 -30.00 0.001706
284274.50 5036202.40 -30.00 0.001932
284294.50 5036202.40 -30.00 0.002157
284314.50 5036202.40 -30.00 0.001816
284334.50 5036202.40 -30.00 0.001810
284214.50 5036222.40 -30.00 0.001336
284234.50 5036222.40 -30.00 0.000000
284254.50 5036222.40 -30.00 0.001419
284274.50 5036222.40 -30.00 0.002505
284294.50 5036222.40 -30.00 0.002163
284314.50 5036222.40 -30.00 0.001796
284334.50 5036222.40 -30.00 0.001846
284214.50 5036242.40 -30.00 0.001283
284234.50 5036242.40 -30.00 0.000037
284254.50 5036242.40 -30.00 0.001726
284274.50 5036242.40 -30.00 0.001272
284294.50 5036242.40 -30.00 0.000915
284314.50 5036242.40 -30.00 0.002212
284334.50 5036242.40 -30.00 0.001773
284214.50 5036262.40 -30.00 0.001347
284234.50 5036262.40 -30.00 0.001326
284254.50 5036262.40 -30.00 0.001348
284274.50 5036262.40 -30.00 0.001480
284294.50 5036262.40 -30.00 0.001524
284314.50 5036262.40 -30.00 0.000522
284334.50 5036262.40 -30.00 0.001750
284214.50 5036282.40 -30.00 0.001418
284234.50 5036282.40 -30.00 0.000730
284254.50 5036282.40 -30.00 0.001013
284274.50 5036282.40 -30.00 0.001259
284294.50 5036282.40 -30.00 0.001427
284314.50 5036282.40 -30.00 0.001549
284334.50 5036282.40 -30.00 0.001620
284214.50 5036302.40 -30.00 0.001397
284234.50 5036302.40 -30.00 0.000942
284254.50 5036302.40 -30.00 0.001128
284274.50 5036302.40 -30.00 0.001484
284294.50 5036302.40 -30.00 0.001453
284314.50 5036302.40 -30.00 0.001498
284334.50 5036302.40 -30.00 0.001538
284214.50 5036322.40 -30.00 0.001366
284234.50 5036322.40 -30.00 0.001231
284254.50 5036322.40 -30.00 0.001257
284274.50 5036322.40 -30.00 0.001594
284294.50 5036322.40 -30.00 0.001504
284314.50 5036322.40 -30.00 0.001491
284334.50 5036322.40 -30.00 0.001500
284214.50 5036342.40 -30.00 0.001244
284234.50 5036342.40 -30.00 0.001191
284254.50 5036342.40 -30.00 0.001196
284274.50 5036342.40 -30.00 0.001269
284294.50 5036342.40 -30.00 0.001558
284314.50 5036342.40 -30.00 0.001498
284334.50 5036342.40 -30.00 0.001483
284214.50 5036142.40 -26.00 0.001203
284234.50 5036142.40 -26.00 0.001439
284254.50 5036142.40 -26.00 0.001618
284274.50 5036142.40 -26.00 0.001728
284294.50 5036142.40 -26.00 0.001794
284314.50 5036142.40 -26.00 0.001779
284334.50 5036142.40 -26.00 0.001731
284214.50 5036162.40 -26.00 0.001581
284234.50 5036162.40 -26.00 0.001514
284254.50 5036162.40 -26.00 0.001635
284274.50 5036162.40 -26.00 0.001736
284294.50 5036162.40 -26.00 0.001871
284314.50 5036162.40 -26.00 0.001867
284334.50 5036162.40 -26.00 0.001227
284214.50 5036182.40 -26.00 0.001553
284234.50 5036182.40 -26.00 0.001507
284254.50 5036182.40 -26.00 0.001665
284274.50 5036182.40 -26.00 0.001882
284294.50 5036182.40 -26.00 0.001926
284314.50 5036182.40 -26.00 0.001740
284334.50 5036182.40 -26.00 0.001755
284214.50 5036202.40 -26.00 0.001455
284234.50 5036202.40 -26.00 0.001633
284254.50 5036202.40 -26.00 0.001761
284274.50 5036202.40 -26.00 0.002140
284294.50 5036202.40 -26.00 0.002302
284314.50 5036202.40 -26.00 0.001881
284334.50 5036202.40 -26.00 0.001846
284214.50 5036222.40 -26.00 0.001298
284234.50 5036222.40 -26.00 0.001017
284254.50 5036222.40 -26.00 0.001414
284274.50 5036222.40 -26.00 0.002967
284294.50 5036222.40 -26.00 0.002428
284314.50 5036222.40 -26.00 0.001932
284334.50 5036222.40 -26.00 0.001916
284214.50 5036242.40 -26.00 0.001232
284234.50 5036242.40 -26.00 0.000055
284254.50 5036242.40 -26.00 0.002051
284274.50 5036242.40 -26.00 0.001391
284294.50 5036242.40 -26.00 0.001302
284314.50 5036242.40 -26.00 0.002262
284334.50 5036242.40 -26.00 0.001879
284214.50 5036262.40 -26.00 0.001321
284234.50 5036262.40 -26.00 0.001314
284254.50 5036262.40 -26.00 0.001338
284274.50 5036262.40 -26.00 0.001440
284294.50 5036262.40 -26.00 0.001663
284314.50 5036262.40 -26.00 0.001441
284334.50 5036262.40 -26.00 0.001771
284214.50 5036282.40 -26.00 0.001419
284234.50 5036282.40 -26.00 0.000766
284254.50 5036282.40 -26.00 0.001019
284274.50 5036282.40 -26.00 0.001247
284294.50 5036282.40 -26.00 0.001459
284314.50 5036282.40 -26.00 0.001488
284334.50 5036282.40 -26.00 0.001629
284214.50 5036302.40 -26.00 0.001399
284234.50 5036302.40 -26.00 0.000929
284254.50 5036302.40 -26.00 0.001100
284274.50 5036302.40 -26.00 0.001580
284294.50 5036302.40 -26.00 0.001450
284314.50 5036302.40 -26.00 0.001505
284334.50 5036302.40 -26.00 0.001547
284214.50 5036322.40 -26.00 0.001375
284234.50 5036322.40 -26.00 0.001196
284254.50 5036322.40 -26.00 0.001234
284274.50 5036322.40 -26.00 0.001643
284294.50 5036322.40 -26.00 0.001516
284314.50 5036322.40 -26.00 0.001498
284334.50 5036322.40 -26.00 0.001505
284214.50 5036342.40 -26.00 0.001222
284234.50 5036342.40 -26.00 0.001159
284254.50 5036342.40 -26.00 0.001165
284274.50 5036342.40 -26.00 0.001254
284294.50 5036342.40 -26.00 0.001571
284314.50 5036342.40 -26.00 0.001500
284334.50 5036342.40 -26.00 0.001486
284214.50 5036142.40 -22.00 0.001228
284234.50 5036142.40 -22.00 0.001460
284254.50 5036142.40 -22.00 0.001646
284274.50 5036142.40 -22.00 0.001746
284294.50 5036142.40 -22.00 0.001822
284314.50 5036142.40 -22.00 0.001799
284334.50 5036142.40 -22.00 0.001741
284214.50 5036162.40 -22.00 0.001587
284234.50 5036162.40 -22.00 0.001600
284254.50 5036162.40 -22.00 0.001684
284274.50 5036162.40 -22.00 0.001780
284294.50 5036162.40 -22.00 0.001919
284314.50 5036162.40 -22.00 0.001894
284334.50 5036162.40 -22.00 0.001382
284214.50 5036182.40 -22.00 0.001558
284234.50 5036182.40 -22.00 0.001568
284254.50 5036182.40 -22.00 0.001861
284274.50 5036182.40 -22.00 0.001944
284294.50 5036182.40 -22.00 0.001962
284314.50 5036182.40 -22.00 0.001790
284334.50 5036182.40 -22.00 0.001759
284214.50 5036202.40 -22.00 0.001451
284234.50 5036202.40 -22.00 0.001634
284254.50 5036202.40 -22.00 0.001827
284274.50 5036202.40 -22.00 0.002376
284294.50 5036202.40 -22.00 0.002462
284314.50 5036202.40 -22.00 0.001976
284334.50 5036202.40 -22.00 0.001901
284214.50 5036222.40 -22.00 0.001256
284234.50 5036222.40 -22.00 0.000867
284254.50 5036222.40 -22.00 0.001461
284274.50 5036222.40 -22.00 0.002378
284294.50 5036222.40 -22.00 0.002726
284314.50 5036222.40 -22.00 0.002037
284334.50 5036222.40 -22.00 0.002043
284214.50 5036242.40 -22.00 0.001182
284234.50 5036242.40 -22.00 0.000061
284254.50 5036242.40 -22.00 0.002059
284274.50 5036242.40 -22.00 0.001403
284294.50 5036242.40 -22.00 0.001550
284314.50 5036242.40 -22.00 0.002239
284334.50 5036242.40 -22.00 0.001957
284214.50 5036262.40 -22.00 0.001312
284234.50 5036262.40 -22.00 0.001297
284254.50 5036262.40 -22.00 0.001338
284274.50 5036262.40 -22.00 0.001443
284294.50 5036262.40 -22.00 0.001430
284314.50 5036262.40 -22.00 0.001530
284334.50 5036262.40 -22.00 0.001780
284214.50 5036282.40 -22.00 0.001420
284234.50 5036282.40 -22.00 0.001316
284254.50 5036282.40 -22.00 0.001022
284274.50 5036282.40 -22.00 0.001295
284294.50 5036282.40 -22.00 0.001448
284314.50 5036282.40 -22.00 0.001562
284334.50 5036282.40 -22.00 0.001635
284214.50 5036302.40 -22.00 0.001401
284234.50 5036302.40 -22.00 0.000932
284254.50 5036302.40 -22.00 0.001103
284274.50 5036302.40 -22.00 0.001603
284294.50 5036302.40 -22.00 0.001464
284314.50 5036302.40 -22.00 0.001511
284334.50 5036302.40 -22.00 0.001549
284214.50 5036322.40 -22.00 0.001377
284234.50 5036322.40 -22.00 0.001160
284254.50 5036322.40 -22.00 0.001213
284274.50 5036322.40 -22.00 0.001682
284294.50 5036322.40 -22.00 0.001525
284314.50 5036322.40 -22.00 0.001498
284334.50 5036322.40 -22.00 0.001508
284214.50 5036342.40 -22.00 0.001195
284234.50 5036342.40 -22.00 0.001125
284254.50 5036342.40 -22.00 0.001128
284274.50 5036342.40 -22.00 0.001238
284294.50 5036342.40 -22.00 0.001585
284314.50 5036342.40 -22.00 0.001503
284334.50 5036342.40 -22.00 0.001488
284214.50 5036142.40 -18.00 0.001246
284234.50 5036142.40 -18.00 0.001477
284254.50 5036142.40 -18.00 0.001665
284274.50 5036142.40 -18.00 0.001771
284294.50 5036142.40 -18.00 0.001861
284314.50 5036142.40 -18.00 0.001822
284334.50 5036142.40 -18.00 0.001747
284214.50 5036162.40 -18.00 0.001591
284234.50 5036162.40 -18.00 0.001749
284254.50 5036162.40 -18.00 0.001765
284274.50 5036162.40 -18.00 0.001834
284294.50 5036162.40 -18.00 0.001973
284314.50 5036162.40 -18.00 0.001961
284334.50 5036162.40 -18.00 0.001492
284214.50 5036182.40 -18.00 0.001562
284234.50 5036182.40 -18.00 0.001723
284254.50 5036182.40 -18.00 0.002024
284274.50 5036182.40 -18.00 0.001980
284294.50 5036182.40 -18.00 0.001984
284314.50 5036182.40 -18.00 0.001838
284334.50 5036182.40 -18.00 0.001839
284214.50 5036202.40 -18.00 0.001444
284234.50 5036202.40 -18.00 0.001671
284254.50 5036202.40 -18.00 0.001903
284274.50 5036202.40 -18.00 0.002684
284294.50 5036202.40 -18.00 0.002653
284314.50 5036202.40 -18.00 0.002071
