# X Y Z i
284214.50 5036142.40 -30.00 0.001402
284234.50 5036142.40 -30.00 0.001624
284254.50 5036142.40 -30.00 0.001663
284274.50 5036142.40 -30.00 0.001687
284294.50 5036142.40 -30.00 0.001714
284314.50 5036142.40 -30.00 0.001711
284334.50 5036142.40 -30.00 0.001685
284214.50 5036162.40 -30.00 0.001247
284234.50 5036162.40 -30.00 0.001651
284254.50 5036162.40 -30.00 0.001703
284274.50 5036162.40 -30.00 0.001695
284294.50 5036162.40 -30.00 0.001699
284314.50 5036162.40 -30.00 0.001694
284334.50 5036162.40 -30.00 0.001662
284214.50 5036182.40 -30.00 0.000438
284234.50 5036182.40 -30.00 0.001689
284254.50 5036182.40 -30.00 0.001747
284274.50 5036182.40 -30.00 0.001747
284294.50 5036182.40 -30.00 0.001719
284314.50 5036182.40 -30.00 0.001665
284334.50 5036182.40 -30.00 0.001667
284214.50 5036202.40 -30.00 0.001333
284234.50 5036202.40 -30.00 0.000650
284254.50 5036202.40 -30.00 0.001876
284274.50 5036202.40 -30.00 0.001904
284294.50 5036202.40 -30.00 0.001798
284314.50 5036202.40 -30.00 0.001688
284334.50 5036202.40 -30.00 0.001674
284214.50 5036222.40 -30.00 0.001585
284234.50 5036222.40 -30.00 0.000000
284254.50 5036222.40 -30.00 0.000540
284274.50 5036222.40 -30.00 0.001679
284294.50 5036222.40 -30.00 0.001804
284314.50 5036222.40 -30.00 0.001641
284334.50 5036222.40 -30.00 0.001671
284214.50 5036242.40 -30.00 0.001517
284234.50 5036242.40 -30.00 0.000000
284254.50 5036242.40 -30.00 0.001350
284274.50 5036242.40 -30.00 0.001378
284294.50 5036242.40 -30.00 0.001963
284314.50 5036242.40 -30.00 0.001825
284334.50 5036242.40 -30.00 0.001666
284214.50 5036262.40 -30.00 0.001554
284234.50 5036262.40 -30.00 0.001558
284254.50 5036262.40 -30.00 0.001589
284274.50 5036262.40 -30.00 0.001624
284294.50 5036262.40 -30.00 0.000902
284314.50 5036262.40 -30.00 0.001586
284334.50 5036262.40 -30.00 0.001619
284214.50 5036282.40 -30.00 0.001566
284234.50 5036282.40 -30.00 0.001576
284254.50 5036282.40 -30.00 0.001577
284274.50 5036282.40 -30.00 0.001595
284294.50 5036282.40 -30.00 0.001615
