# X Y Z i
284214.50 5036142.40 -30.00 0.001358
284234.50 5036142.40 -30.00 0.001594
284254.50 5036142.40 -30.00 0.001752
284274.50 5036142.40 -30.00 0.001853
284294.50 5036142.40 -30.00 0.002041
284314.50 5036142.40 -30.00 0.001958
284334.50 5036142.40 -30.00 0.001890
284214.50 5036162.40 -30.00 0.001281
284234.50 5036162.40 -30.00 0.001697
284254.50 5036162.40 -30.00 0.001813
284274.50 5036162.40 -30.00 0.001825
284294.50 5036162.40 -30.00 0.001890
284314.50 5036162.40 -30.00 0.001876
284334.50 5036162.40 -30.00 0.001878
284214.50 5036182.40 -30.00 0.001870
284234.50 5036182.40 -30.00 0.001995
284254.50 5036182.40 -30.00 0.001784
284274.50 5036182.40 -30.00 0.001802
284294.50 5036182.40 -30.00 0.001845
284314.50 5036182.40 -30.00 0.001825
284334.50 5036182.40 -30.00 0.001895
284214.50 5036202.40 -30.00 0.001364
284234.50 5036202.40 -30.00 0.001335
284254.50 5036202.40 -30.00 0.001803
284274.50 5036202.40 -30.00 0.002154
284294.50 5036202.40 -30.00 0.001960
284314.50 5036202.40 -30.00 0.001835
284334.50 5036202.40 -30.00 0.001876
284214.50 5036222.40 -30.00 0.000693
284234.50 5036222.40 -30.00 0.000894
284254.50 5036222.40 -30.00 0.001159
284274.50 5036222.40 -30.00 0.002389
284294.50 5036222.40 -30.00 0.002179
284314.50 5036222.40 -30.00 0.001777
284334.50 5036222.40 -30.00 0.001969
284214.50 5036242.40 -30.00 0.000429
284234.50 5036242.40 -30.00 0.000086
284254.50 5036242.40 -30.00 0.000122
284274.50 5036242.40 -30.00 0.001649
284294.50 5036242.40 -30.00 0.001745
284314.50 5036242.40 -30.00 0.002018
284334.50 5036242.40 -30.00 0.001825
284214.50 5036262.40 -30.00 0.000080
284234.50 5036262.40 -30.00 0.000711
284254.50 5036262.40 -30.00 0.001211
284274.50 5036262.40 -30.00 0.001204
284294.50 5036262.40 -30.00 0.001504
284314.50 5036262.40 -30.00 0.001774
284334.50 5036262.40 -30.00 0.001779
284214.50 5036282.40 -30.00 0.000945
284234.50 5036282.40 -30.00 0.000119
284254.50 5036282.40 -30.00 0.001443
284274.50 5036282.40 -30.00 0.001712
284294.50 5036282.40 -30.00 0.001765
284314.50 5036282.40 -30.00 0.002053
284334.50 5036282.40 -30.00 0.002081
284214.50 5036302.40 -30.00 0.001608
284234.50 5036302.40 -30.00 0.001678
284254.50 5036302.40 -30.00 0.001737
284274.50 5036302.40 -30.00 0.001832
284294.50 5036302.40 -30.00 0.001760
284314.50 5036302.40 -30.00 0.001788
284334.50 5036302.40 -30.00 0.001792
284214.50 5036322.40 -30.00 0.001636
284234.50 5036322.40 -30.00 0.001784
284254.50 5036322.40 -30.00 0.001785
284274.50 5036322.40 -30.00 0.001877
284294.50 5036322.40 -30.00 0.001811
284314.50 5036322.40 -30.00 0.001790
284334.50 5036322.40 -30.00 0.001781
284214.50 5036342.40 -30.00 0.001761
284234.50 5036342.40 -30.00 0.001813
284254.50 5036342.40 -30.00 0.001828
284274.50 5036342.40 -30.00 0.002035
284294.50 5036342.40 -30.00 0.001825
284314.50 5036342.40 -30.00 0.001791
284334.50 5036342.40 -30.00 0.001777
284214.50 5036142.40 -26.00 0.001358
284234.50 5036142.40 -26.00 0.001595
284254.50 5036142.40 -26.00 0.001755
284274.50 5036142.40 -26.00 0.001860
284294.50 5036142.40 -26.00 0.002052
284314.50 5036142.40 -26.00 0.001965
284334.50 5036142.40 -26.00 0.001894
284214.50 5036162.40 -26.00 0.001280
284234.50 5036162.40 -26.00 0.001699
284254.50 5036162.40 -26.00 0.001819
284274.50 5036162.40 -26.00 0.001835
284294.50 5036162.40 -26.00 0.001903
284314.50 5036162.40 -26.00 0.001886
284334.50 5036162.40 -26.00 0.001884
284214.50 5036182.40 -26.00 0.001868
284234.50 5036182.40 -26.00 0.001997
284254.50 5036182.40 -26.00 0.001789
284274.50 5036182.40 -26.00 0.001815
284294.50 5036182.40 -26.00 0.001861
284314.50 5036182.40 -26.00 0.001839
284334.50 5036182.40 -26.00 0.001903
284214.50 5036202.40 -26.00 0.001352
284234.50 5036202.40 -26.00 0.001314
284254.50 5036202.40 -26.00 0.001792
284274.50 5036202.40 -26.00 0.002170
284294.50 5036202.40 -26.00 0.001984
284314.50 5036202.40 -26.00 0.001851
284334.50 5036202.40 -26.00 0.001886
284214.50 5036222.40 -26.00 0.000646
284234.50 5036222.40 -26.00 0.000835
284254.50 5036222.40 -26.00 0.001118
284274.50 5036222.40 -26.00 0.002387
284294.50 5036222.40 -26.00 0.002217
284314.50 5036222.40 -26.00 0.001798
284334.50 5036222.40 -26.00 0.001981
284214.50 5036242.40 -26.00 0.000370
284234.50 5036242.40 -26.00 0.000072
284254.50 5036242.40 -26.00 0.000113
284274.50 5036242.40 -26.00 0.001646
284294.50 5036242.40 -26.00 0.001749
284314.50 5036242.40 -26.00 0.002030
284334.50 5036242.40 -26.00 0.001835
284214.50 5036262.40 -26.00 0.000074
284234.50 5036262.40 -26.00 0.000709
284254.50 5036262.40 -26.00 0.001209
284274.50 5036262.40 -26.00 0.001193
284294.50 5036262.40 -26.00 0.001507
284314.50 5036262.40 -26.00 0.001790
284334.50 5036262.40 -26.00 0.001786
284214.50 5036282.40 -26.00 0.000944
284234.50 5036282.40 -26.00 0.000118
284254.50 5036282.40 -26.00 0.001440
284274.50 5036282.40 -26.00 0.001710
284294.50 5036282.40 -26.00 0.001764
284314.50 5036282.40 -26.00 0.002025
284334.50 5036282.40 -26.00 0.002084
284214.50 5036302.40 -26.00 0.001607
284234.50 5036302.40 -26.00 0.001677
284254.50 5036302.40 -26.00 0.001735
284274.50 5036302.40 -26.00 0.001840
284294.50 5036302.40 -26.00 0.001762
284314.50 5036302.40 -26.00 0.001789
284334.50 5036302.40 -26.00 0.001793
284214.50 5036322.40 -26.00 0.001634
284234.50 5036322.40 -26.00 0.001788
284254.50 5036322.40 -26.00 0.001788
284274.50 5036322.40 -26.00 0.001878
284294.50 5036322.40 -26.00 0.001811
284314.50 5036322.40 -26.00 0.001791
284334.50 5036322.40 -26.00 0.001782
284214.50 5036342.40 -26.00 0.001764
284234.50 5036342.40 -26.00 0.001816
284254.50 5036342.40 -26.00 0.001831
284274.50 5036342.40 -26.00 0.002036
284294.50 5036342.40 -26.00 0.001826
284314.50 5036342.40 -26.00 0.001792
284334.50 5036342.40 -26.00 0.001778
284214.50 5036142.40 -22.00 0.001359
284234.50 5036142.40 -22.00 0.001595
284254.50 5036142.40 -22.00 0.001757
284274.50 5036142.40 -22.00 0.001865
284294.50 5036142.40 -22.00 0.002057
284314.50 5036142.40 -22.00 0.001969
284334.50 5036142.40 -22.00 0.001896
284214.50 5036162.40 -22.00 0.001279
284234.50 5036162.40 -22.00 0.001700
284254.50 5036162.40 -22.00 0.001824
284274.50 5036162.40 -22.00 0.001844
284294.50 5036162.40 -22.00 0.001914
284314.50 5036162.40 -22.00 0.001894
