# X Y Z i
284214.50 5036142.40 -30.00 0.001993
284234.50 5036142.40 -30.00 0.001766
284254.50 5036142.40 -30.00 0.002068
284274.50 5036142.40 -30.00 0.001827
284294.50 5036142.40 -30.00 0.001764
284314.50 5036142.40 -30.00 0.001738
284334.50 5036142.40 -30.00 0.001684
284214.50 5036162.40 -30.00 0.000663
284234.50 5036162.40 -30.00 0.001507
284254.50 5036162.40 -30.00 0.001740
284274.50 5036162.40 -30.00 0.001859
284294.50 5036162.40 -30.00 0.001862
284314.50 5036162.40 -30.00 0.001752
284334.50 5036162.40 -30.00 0.001566
284214.50 5036182.40 -30.00 0.001366
284234.50 5036182.40 -30.00 0.001701
284254.50 5036182.40 -30.00 0.001875
284274.50 5036182.40 -30.00 0.002117
284294.50 5036182.40 -30.00 0.002064
284314.50 5036182.40 -30.00 0.001750
284334.50 5036182.40 -30.00 0.001524
284214.50 5036202.40 -30.00 0.001077
284234.50 5036202.40 -30.00 0.001537
284254.50 5036202.40 -30.00 0.001842
284274.50 5036202.40 -30.00 0.001878
284294.50 5036202.40 -30.00 0.001580
284314.50 5036202.40 -30.00 0.001427
284334.50 5036202.40 -30.00 0.001238
284214.50 5036222.40 -30.00 0.000790
284234.50 5036222.40 -30.00 0.000854
284254.50 5036222.40 -30.00 0.001203
284274.50 5036222.40 -30.00 0.005270
284294.50 5036222.40 -30.00 0.002635
284314.50 5036222.40 -30.00 0.001980
284334.50 5036222.40 -30.00 0.001602
284214.50 5036242.40 -30.00 0.002370
284234.50 5036242.40 -30.00 0.000000
284254.50 5036242.40 -30.00 0.003166
284274.50 5036242.40 -30.00 0.001144
284294.50 5036242.40 -30.00 0.001450
284314.50 5036242.40 -30.00 0.004185
284334.50 5036242.40 -30.00 0.001460
284214.50 5036262.40 -30.00 0.000861
284234.50 5036262.40 -30.00 0.000903
284254.50 5036262.40 -30.00 0.001028
284274.50 5036262.40 -30.00 0.001586
284294.50 5036262.40 -30.00 0.001632
284314.50 5036262.40 -30.00 0.002502
284334.50 5036262.40 -30.00 0.002162
284214.50 5036282.40 -30.00 0.001123
284234.50 5036282.40 -30.00 0.001232
284254.50 5036282.40 -30.00 0.001322
284274.50 5036282.40 -30.00 0.001370
284294.50 5036282.40 -30.00 0.001439
284314.50 5036282.40 -30.00 0.002899
284334.50 5036282.40 -30.00 0.001629
284214.50 5036302.40 -30.00 0.001550
284234.50 5036302.40 -30.00 0.001491
284254.50 5036302.40 -30.00 0.001580
284274.50 5036302.40 -30.00 0.001178
284294.50 5036302.40 -30.00 0.001418
284314.50 5036302.40 -30.00 0.001612
284334.50 5036302.40 -30.00 0.001900
284214.50 5036322.40 -30.00 0.001324
284234.50 5036322.40 -30.00 0.001007
284254.50 5036322.40 -30.00 0.001103
284274.50 5036322.40 -30.00 0.001350
284294.50 5036322.40 -30.00 0.001636
284314.50 5036322.40 -30.00 0.002142
284334.50 5036322.40 -30.00 0.002533
284214.50 5036342.40 -30.00 0.001054
284234.50 5036342.40 -30.00 0.000863
284254.50 5036342.40 -30.00 0.000544
284274.50 5036342.40 -30.00 0.000673
284294.50 5036342.40 -30.00 0.000835
284314.50 5036342.40 -30.00 0.000984
