# X Y Z i
284214.50 5036142.40 -30.00 0.001308
284234.50 5036142.40 -30.00 0.001467
284254.50 5036142.40 -30.00 0.001605
284274.50 5036142.40 -30.00 0.001279
284294.50 5036142.40 -30.00 0.001576
284314.50 5036142.40 -30.00 0.001487
284334.50 5036142.40 -30.00 0.001586
284214.50 5036162.40 -30.00 0.001435
284234.50 5036162.40 -30.00 0.001577
284254.50 5036162.40 -30.00 0.000911
284274.50 5036162.40 -30.00 0.001640
284294.50 5036162.40 -30.00 0.001832
284314.50 5036162.40 -30.00 0.001905
284334.50 5036162.40 -30.00 0.001399
284214.50 5036182.40 -30.00 0.001447
284234.50 5036182.40 -30.00 0.001670
284254.50 5036182.40 -30.00 0.000955
284274.50 5036182.40 -30.00 0.001840
284294.50 5036182.40 -30.00 0.001953
284314.50 5036182.40 -30.00 0.001645
284334.50 5036182.40 -30.00 0.001511
284214.50 5036202.40 -30.00 0.001392
284234.50 5036202.40 -30.00 0.001722
284254.50 5036202.40 -30.00 0.000163
284274.50 5036202.40 -30.00 0.001942
284294.50 5036202.40 -30.00 0.001941
284314.50 5036202.40 -30.00 0.001536
284334.50 5036202.40 -30.00 0.001477
284214.50 5036222.40 -30.00 0.001221
284234.50 5036222.40 -30.00 0.001579
284254.50 5036222.40 -30.00 0.002281
284274.50 5036222.40 -30.00 0.001556
284294.50 5036222.40 -30.00 0.001343
284314.50 5036222.40 -30.00 0.001653
284334.50 5036222.40 -30.00 0.001283
284214.50 5036242.40 -30.00 0.001018
284234.50 5036242.40 -30.00 0.000000
284254.50 5036242.40 -30.00 0.001279
284274.50 5036242.40 -30.00 0.001522
284294.50 5036242.40 -30.00 0.001577
284314.50 5036242.40 -30.00 0.002643
284334.50 5036242.40 -30.00 0.001402
284214.50 5036262.40 -30.00 0.000893
284234.50 5036262.40 -30.00 0.001353
284254.50 5036262.40 -30.00 0.001550
284274.50 5036262.40 -30.00 0.001690
284294.50 5036262.40 -30.00 0.001022
284314.50 5036262.40 -30.00 0.001232
284334.50 5036262.40 -30.00 0.001220
284214.50 5036282.40 -30.00 0.000867
284234.50 5036282.40 -30.00 0.000863
284254.50 5036282.40 -30.00 0.000871
284274.50 5036282.40 -30.00 0.000892
284294.50 5036282.40 -30.00 0.000925
284314.50 5036282.40 -30.00 0.000956
284334.50 5036282.40 -30.00 0.001047
284214.50 5036302.40 -30.00 0.000798
284234.50 5036302.40 -30.00 0.000779
284254.50 5036302.40 -30.00 0.000778
284274.50 5036302.40 -30.00 0.000650
284294.50 5036302.40 -30.00 0.000758
284314.50 5036302.40 -30.00 0.000849
284334.50 5036302.40 -30.00 0.000921
284214.50 5036322.40 -30.00 0.000720
284234.50 5036322.40 -30.00 0.000466
284254.50 5036322.40 -30.00 0.000498
284274.50 5036322.40 -30.00 0.000576
284294.50 5036322.40 -30.00 0.000674
284314.50 5036322.40 -30.00 0.000766
284334.50 5036322.40 -30.00 0.000838
284214.50 5036342.40 -30.00 0.000493
284234.50 5036342.40 -30.00 0.000403
284254.50 5036342.40 -30.00 0.000404
284274.50 5036342.40 -30.00 0.000829
284294.50 5036342.40 -30.00 0.000627
284314.50 5036342.40 -30.00 0.000719
284334.50 5036342.40 -30.00 0.000787
284214.50 5036142.40 -26.00 0.001302
284234.50 5036142.40 -26.00 0.001506
284254.50 5036142.40 -26.00 0.001627
284274.50 5036142.40 -26.00 0.001424
284294.50 5036142.40 -26.00 0.001710
284314.50 5036142.40 -26.00 0.001595
284334.50 5036142.40 -26.00 0.001248
284214.50 5036162.40 -26.00 0.001448
284234.50 5036162.40 -26.00 0.001599
284254.50 5036162.40 -26.00 0.001151
284274.50 5036162.40 -26.00 0.001816
284294.50 5036162.40 -26.00 0.001990
284314.50 5036162.40 -26.00 0.002001
284334.50 5036162.40 -26.00 0.001473
284214.50 5036182.40 -26.00 0.001470
284234.50 5036182.40 -26.00 0.001718
284254.50 5036182.40 -26.00 0.001286
284274.50 5036182.40 -26.00 0.002059
284294.50 5036182.40 -26.00 0.002122
284314.50 5036182.40 -26.00 0.001752
284334.50 5036182.40 -26.00 0.001589
284214.50 5036202.40 -26.00 0.001411
284234.50 5036202.40 -26.00 0.001788
284254.50 5036202.40 -26.00 0.000785
284274.50 5036202.40 -26.00 0.000917
284294.50 5036202.40 -26.00 0.002178
284314.50 5036202.40 -26.00 0.001614
284334.50 5036202.40 -26.00 0.001563
284214.50 5036222.40 -26.00 0.001203
284234.50 5036222.40 -26.00 0.001646
284254.50 5036222.40 -26.00 0.001428
284274.50 5036222.40 -26.00 0.001686
284294.50 5036222.40 -26.00 0.001687
284314.50 5036222.40 -26.00 0.001661
284334.50 5036222.40 -26.00 0.001416
284214.50 5036242.40 -26.00 0.000999
284234.50 5036242.40 -26.00 0.000034
284254.50 5036242.40 -26.00 0.001351
284274.50 5036242.40 -26.00 0.001551
284294.50 5036242.40 -26.00 0.001613
284314.50 5036242.40 -26.00 0.002903
284334.50 5036242.40 -26.00 0.001431
284214.50 5036262.40 -26.00 0.000821
284234.50 5036262.40 -26.00 0.001534
284254.50 5036262.40 -26.00 0.001514
284274.50 5036262.40 -26.00 0.001634
284294.50 5036262.40 -26.00 0.001008
284314.50 5036262.40 -26.00 0.001276
284334.50 5036262.40 -26.00 0.001239
284214.50 5036282.40 -26.00 0.000866
284234.50 5036282.40 -26.00 0.000862
284254.50 5036282.40 -26.00 0.000871
284274.50 5036282.40 -26.00 0.000891
284294.50 5036282.40 -26.00 0.000922
284314.50 5036282.40 -26.00 0.001007
284334.50 5036282.40 -26.00 0.001052
284214.50 5036302.40 -26.00 0.000800
284234.50 5036302.40 -26.00 0.000786
284254.50 5036302.40 -26.00 0.000796
284274.50 5036302.40 -26.00 0.000577
284294.50 5036302.40 -26.00 0.000743
284314.50 5036302.40 -26.00 0.000843
284334.50 5036302.40 -26.00 0.000920
284214.50 5036322.40 -26.00 0.000740
284234.50 5036322.40 -26.00 0.000410
284254.50 5036322.40 -26.00 0.000461
284274.50 5036322.40 -26.00 0.000565
284294.50 5036322.40 -26.00 0.000663
284314.50 5036322.40 -26.00 0.000761
284334.50 5036322.40 -26.00 0.000837
284214.50 5036342.40 -26.00 0.000456
284234.50 5036342.40 -26.00 0.000358
284254.50 5036342.40 -26.00 0.000359
284274.50 5036342.40 -26.00 0.000483
284294.50 5036342.40 -26.00 0.000617
284314.50 5036342.40 -26.00 0.000712
284334.50 5036342.40 -26.00 0.000786
284214.50 5036142.40 -22.00 0.001300
284234.50 5036142.40 -22.00 0.001519
284254.50 5036142.40 -22.00 0.001644
284274.50 5036142.40 -22.00 0.001549
284294.50 5036142.40 -22.00 0.001875
284314.50 5036142.40 -22.00 0.001708
284334.50 5036142.40 -22.00 0.001324
284214.50 5036162.40 -22.00 0.001461
284234.50 5036162.40 -22.00 0.001619
284254.50 5036162.40 -22.00 0.001363
284274.50 5036162.40 -22.00 0.001984
284294.50 5036162.40 -22.00 0.002151
284314.50 5036162.40 -22.00 0.002044
284334.50 5036162.40 -22.00 0.001548
