# X Y Z i
284214.50 5036142.40 -30.00 0.000698
284234.50 5036142.40 -30.00 0.001423
284254.50 5036142.40 -30.00 0.001716
284274.50 5036142.40 -30.00 0.001931
284294.50 5036142.40 -30.00 0.001365
284314.50 5036142.40 -30.00 0.000006
284334.50 5036142.40 -30.00 0.001374
284214.50 5036162.40 -30.00 0.000764
284234.50 5036162.40 -30.00 0.001892
284254.50 5036162.40 -30.00 0.002090
284274.50 5036162.40 -30.00 0.002319
284294.50 5036162.40 -30.00 0.002877
284314.50 5036162.40 -30.00 0.002712
284334.50 5036162.40 -30.00 0.002008
284214.50 5036182.40 -30.00 0.001556
284234.50 5036182.40 -30.00 0.002448
284254.50 5036182.40 -30.00 0.001841
284274.50 5036182.40 -30.00 0.001843
284294.50 5036182.40 -30.00 0.001929
284314.50 5036182.40 -30.00 0.002056
284334.50 5036182.40 -30.00 0.002106
284214.50 5036202.40 -30.00 0.001385
284234.50 5036202.40 -30.00 0.001335
284254.50 5036202.40 -30.00 0.001330
284274.50 5036202.40 -30.00 0.002093
284294.50 5036202.40 -30.00 0.001927
284314.50 5036202.40 -30.00 0.001820
284334.50 5036202.40 -30.00 0.002014
284214.50 5036222.40 -30.00 0.000686
284234.50 5036222.40 -30.00 0.001004
284254.50 5036222.40 -30.00 0.001106
284274.50 5036222.40 -30.00 0.002099
284294.50 5036222.40 -30.00 0.002202
284314.50 5036222.40 -30.00 0.001762
284334.50 5036222.40 -30.00 0.002119
284214.50 5036242.40 -30.00 0.000430
284234.50 5036242.40 -30.00 0.000094
284254.50 5036242.40 -30.00 0.001686
284274.50 5036242.40 -30.00 0.001227
284294.50 5036242.40 -30.00 0.000908
284314.50 5036242.40 -30.00 0.002097
284334.50 5036242.40 -30.00 0.001837
284214.50 5036262.40 -30.00 0.001235
284234.50 5036262.40 -30.00 0.001231
284254.50 5036262.40 -30.00 0.001223
284274.50 5036262.40 -30.00 0.000156
284294.50 5036262.40 -30.00 0.001574
284314.50 5036262.40 -30.00 0.001712
284334.50 5036262.40 -30.00 0.001791
284214.50 5036282.40 -30.00 0.000926
284234.50 5036282.40 -30.00 0.000156
284254.50 5036282.40 -30.00 0.001299
284274.50 5036282.40 -30.00 0.001642
284294.50 5036282.40 -30.00 0.001770
284314.50 5036282.40 -30.00 0.002472
284334.50 5036282.40 -30.00 0.002430
284214.50 5036302.40 -30.00 0.001525
284234.50 5036302.40 -30.00 0.001582
284254.50 5036302.40 -30.00 0.001622
284274.50 5036302.40 -30.00 0.001810
284294.50 5036302.40 -30.00 0.001767
284314.50 5036302.40 -30.00 0.001798
284334.50 5036302.40 -30.00 0.001814
284214.50 5036322.40 -30.00 0.001581
284234.50 5036322.40 -30.00 0.001874
284254.50 5036322.40 -30.00 0.001860
284274.50 5036322.40 -30.00 0.001828
284294.50 5036322.40 -30.00 0.001803
284314.50 5036322.40 -30.00 0.001793
284334.50 5036322.40 -30.00 0.001788
284214.50 5036342.40 -30.00 0.001838
284234.50 5036342.40 -30.00 0.001930
284254.50 5036342.40 -30.00 0.001958
284274.50 5036342.40 -30.00 0.001863
284294.50 5036342.40 -30.00 0.001811
284314.50 5036342.40 -30.00 0.001790
284334.50 5036342.40 -30.00 0.001777
284214.50 5036142.40 -26.00 0.000699
284234.50 5036142.40 -26.00 0.001425
284254.50 5036142.40 -26.00 0.001720
284274.50 5036142.40 -26.00 0.001938
284294.50 5036142.40 -26.00 0.001368
284314.50 5036142.40 -26.00 0.000009
284334.50 5036142.40 -26.00 0.001378
284214.50 5036162.40 -26.00 0.000764
284234.50 5036162.40 -26.00 0.001897
284254.50 5036162.40 -26.00 0.002098
