# X Y Z i
284214.50 5036142.40 -30.00 0.001639
284234.50 5036142.40 -30.00 0.001664
284254.50 5036142.40 -30.00 0.001597
284274.50 5036142.40 -30.00 0.000465
284294.50 5036142.40 -30.00 0.000656
284314.50 5036142.40 -30.00 0.000752
284334.50 5036142.40 -30.00 0.000839
284214.50 5036162.40 -30.00 0.001614
284234.50 5036162.40 -30.00 0.001652
284254.50 5036162.40 -30.00 0.001692
284274.50 5036162.40 -30.00 0.000840
284294.50 5036162.40 -30.00 0.001617
284314.50 5036162.40 -30.00 0.001628
284334.50 5036162.40 -30.00 0.001423
284214.50 5036182.40 -30.00 0.001577
284234.50 5036182.40 -30.00 0.001535
284254.50 5036182.40 -30.00 0.001727
284274.50 5036182.40 -30.00 0.001798
284294.50 5036182.40 -30.00 0.001439
284314.50 5036182.40 -30.00 0.001584
284334.50 5036182.40 -30.00 0.001714
284214.50 5036202.40 -30.00 0.001524
284234.50 5036202.40 -30.00 0.001548
284254.50 5036202.40 -30.00 0.001357
284274.50 5036202.40 -30.00 0.001596
284294.50 5036202.40 -30.00 0.001008
284314.50 5036202.40 -30.00 0.001323
284334.50 5036202.40 -30.00 0.001848
284214.50 5036222.40 -30.00 0.001417
284234.50 5036222.40 -30.00 0.001366
284254.50 5036222.40 -30.00 0.001495
284274.50 5036222.40 -30.00 0.001621
284294.50 5036222.40 -30.00 0.000879
284314.50 5036222.40 -30.00 0.000816
284334.50 5036222.40 -30.00 0.001926
284214.50 5036242.40 -30.00 0.001379
284234.50 5036242.40 -30.00 0.000102
284254.50 5036242.40 -30.00 0.001562
284274.50 5036242.40 -30.00 0.001605
284294.50 5036242.40 -30.00 0.001749
284314.50 5036242.40 -30.00 0.001532
284334.50 5036242.40 -30.00 0.001894
284214.50 5036262.40 -30.00 0.001497
284234.50 5036262.40 -30.00 0.001509
284254.50 5036262.40 -30.00 0.001479
284274.50 5036262.40 -30.00 0.001522
284294.50 5036262.40 -30.00 0.001544
284314.50 5036262.40 -30.00 0.001468
284334.50 5036262.40 -30.00 0.001669
284214.50 5036282.40 -30.00 0.001545
284234.50 5036282.40 -30.00 0.001541
284254.50 5036282.40 -30.00 0.001550
284274.50 5036282.40 -30.00 0.001572
284294.50 5036282.40 -30.00 0.001602
284314.50 5036282.40 -30.00 0.000003
284334.50 5036282.40 -30.00 0.001033
284214.50 5036302.40 -30.00 0.001540
284234.50 5036302.40 -30.00 0.001546
284254.50 5036302.40 -30.00 0.001552
284274.50 5036302.40 -30.00 0.000615
284294.50 5036302.40 -30.00 0.000568
284314.50 5036302.40 -30.00 0.000784
284334.50 5036302.40 -30.00 0.000826
284214.50 5036322.40 -30.00 0.001531
284234.50 5036322.40 -30.00 0.001165
284254.50 5036322.40 -30.00 0.001162
284274.50 5036322.40 -30.00 0.000993
284294.50 5036322.40 -30.00 0.000828
284314.50 5036322.40 -30.00 0.000762
284334.50 5036322.40 -30.00 0.000712
284214.50 5036342.40 -30.00 0.001022
284234.50 5036342.40 -30.00 0.001546
284254.50 5036342.40 -30.00 0.001653
284274.50 5036342.40 -30.00 0.001343
284294.50 5036342.40 -30.00 0.001000
284314.50 5036342.40 -30.00 0.000812
284334.50 5036342.40 -30.00 0.000689
284214.50 5036142.40 -26.00 0.001643
284234.50 5036142.40 -26.00 0.001702
284254.50 5036142.40 -26.00 0.001614
284274.50 5036142.40 -26.00 0.000619
284294.50 5036142.40 -26.00 0.000647
284314.50 5036142.40 -26.00 0.000806
284334.50 5036142.40 -26.00 0.000905
284214.50 5036162.40 -26.00 0.001617
284234.50 5036162.40 -26.00 0.001671
284254.50 5036162.40 -26.00 0.001716
284274.50 5036162.40 -26.00 0.001188
284294.50 5036162.40 -26.00 0.001948
284314.50 5036162.40 -26.00 0.001897
284334.50 5036162.40 -26.00 0.001570
284214.50 5036182.40 -26.00 0.001583
284234.50 5036182.40 -26.00 0.001512
284254.50 5036182.40 -26.00 0.001745
284274.50 5036182.40 -26.00 0.001817
284294.50 5036182.40 -26.00 0.001799
284314.50 5036182.40 -26.00 0.001879
284334.50 5036182.40 -26.00 0.001848
284214.50 5036202.40 -26.00 0.001521
284234.50 5036202.40 -26.00 0.001543
284254.50 5036202.40 -26.00 0.001301
284274.50 5036202.40 -26.00 0.001697
284294.50 5036202.40 -26.00 0.001328
284314.50 5036202.40 -26.00 0.001513
284334.50 5036202.40 -26.00 0.001944
284214.50 5036222.40 -26.00 0.001386
284234.50 5036222.40 -26.00 0.001311
284254.50 5036222.40 -26.00 0.001462
284274.50 5036222.40 -26.00 0.001618
284294.50 5036222.40 -26.00 0.001332
284314.50 5036222.40 -26.00 0.001052
284334.50 5036222.40 -26.00 0.002048
284214.50 5036242.40 -26.00 0.001333
284234.50 5036242.40 -26.00 0.000063
284254.50 5036242.40 -26.00 0.001562
284274.50 5036242.40 -26.00 0.001569
284294.50 5036242.40 -26.00 0.001690
284314.50 5036242.40 -26.00 0.001612
284334.50 5036242.40 -26.00 0.001979
284214.50 5036262.40 -26.00 0.001492
284234.50 5036262.40 -26.00 0.001511
284254.50 5036262.40 -26.00 0.001523
284274.50 5036262.40 -26.00 0.001510
284294.50 5036262.40 -26.00 0.001536
284314.50 5036262.40 -26.00 0.001748
284334.50 5036262.40 -26.00 0.001791
284214.50 5036282.40 -26.00 0.001546
284234.50 5036282.40 -26.00 0.001542
284254.50 5036282.40 -26.00 0.001553
284274.50 5036282.40 -26.00 0.001574
284294.50 5036282.40 -26.00 0.001611
284314.50 5036282.40 -26.00 0.001605
284334.50 5036282.40 -26.00 0.001122
284214.50 5036302.40 -26.00 0.001541
284234.50 5036302.40 -26.00 0.001546
284254.50 5036302.40 -26.00 0.001547
284274.50 5036302.40 -26.00 0.001143
284294.50 5036302.40 -26.00 0.000699
284314.50 5036302.40 -26.00 0.000847
284334.50 5036302.40 -26.00 0.000891
